relative_path,pattern,count,classification,context_sample
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk9/riftcoach_wr_intelligence_database_v0_6_0_chunk9/lineage/source_refresh_queue_builds.json,non_wr_url,138,needs_review_policy_or_guardrail_context,"guide/aatrox"",       ""https://wiki.leagueoflegends.com/en-us/WR:Aatrox"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/aatrox/""     ],     ""required_outputs"": [       ""current_source_verified_builds"",       || com/guide/ahri"",       ""https://wiki.leagueoflegends.com/en-us/WR:Ahri"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/ahri/""     ],     ""required_outputs"": [       ""current_source_verified_builds"",       || m/guide/akali"",       ""https://wiki.leagueoflegends.com/en-us/WR:Akali"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/akali/""     ],     ""required_outputs"": [       ""current_source_verified_builds"",       || guide/akshan"",       ""https://wiki.leagueoflegends.com/en-us/WR:Akshan"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/akshan/""     ],     ""required_outputs"": [       ""current_source_verified_builds"",       || ide/alistar"",       ""https://wiki.leagueoflegends.com/en-us/WR:Alistar"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/alistar/""     ],     ""required_outputs"": [       ""current_source_verified_builds"",      "
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk9/riftcoach_wr_intelligence_database_v0_6_0_chunk9/public/data/karma_builds.json,non_wr_url,4,needs_review_policy_or_guardrail_context,"source_urls"": [       ""https://wiki.leagueoflegends.com/en-us/WR:Karma"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/karma/"",       ""https://www.wildriftfire.com/guide/karma"",       ""https://www.wildrift || source_urls"": [       ""https://wiki.leagueoflegends.com/en-us/WR:Karma"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/karma/"",       ""https://www.wildriftfire.com/guide/karma"",       ""https://www.wildrift || source_urls"": [       ""https://wiki.leagueoflegends.com/en-us/WR:Karma"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/karma/"",       ""https://www.wildriftfire.com/guide/karma"",       ""https://www.wildrift || source_urls"": [       ""https://wiki.leagueoflegends.com/en-us/WR:Karma"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/karma/"",       ""https://www.wildriftfire.com/guide/karma"",       ""https://www.wildrift"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk9/riftcoach_wr_intelligence_database_v0_6_0_chunk9/database/builds/wr_meta_builds.json,non_wr_url,138,needs_review_policy_or_guardrail_context,"; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/aatrox/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Aatrox"",         ""https:// || ; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/ahri/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Ahri"",         ""https://ww || ; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/akali/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Akali"",         ""https://w || ; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/akshan/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Akshan"",         ""https:// || ; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/alistar/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Alistar"",         ""https:/"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk9/riftcoach_wr_intelligence_database_v0_6_0_chunk9/database/builds/wr_archetype_builds.json,non_wr_url,270,needs_review_policy_or_guardrail_context,"; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/aatrox/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Aatrox"",         ""https:// || ; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/aatrox/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Aatrox"",         ""https:// || ; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/ahri/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Ahri"",         ""https://ww || ; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/ahri/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Ahri"",         ""https://ww || ; not official source meta.""         ]       },       ""source_urls"": [         ""https://wildrift.leagueoflegends.com/en-sg/champions/akali/"",         ""https://wiki.leagueoflegends.com/en-us/WR:Akali"",         ""https://w"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk9/riftcoach_wr_intelligence_database_v0_6_0_chunk9/database/builds/wr_champion_build_variants.json,non_wr_url,270,needs_review_policy_or_guardrail_context,"ficial source meta.""           ]         },         ""source_urls"": [           ""https://wildrift.leagueoflegends.com/en-sg/champions/aatrox/"",           ""https://wiki.leagueoflegends.com/en-us/WR:Aatrox"",           ""http || ficial source meta.""           ]         },         ""source_urls"": [           ""https://wildrift.leagueoflegends.com/en-sg/champions/aatrox/"",           ""https://wiki.leagueoflegends.com/en-us/WR:Aatrox"",           ""http || ficial source meta.""           ]         },         ""source_urls"": [           ""https://wildrift.leagueoflegends.com/en-sg/champions/ahri/"",           ""https://wiki.leagueoflegends.com/en-us/WR:Ahri"",           ""https: || ficial source meta.""           ]         },         ""source_urls"": [           ""https://wildrift.leagueoflegends.com/en-sg/champions/ahri/"",           ""https://wiki.leagueoflegends.com/en-us/WR:Ahri"",           ""https: || ficial source meta.""           ]         },         ""source_urls"": [           ""https://wildrift.leagueoflegends.com/en-sg/champions/akali/"",           ""https://wiki.leagueoflegends.com/en-us/WR:Akali"",           ""https"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk9/riftcoach_wr_intelligence_database_v0_6_0_chunk9/database/builds/wr_karma_builds.json,non_wr_url,4,needs_review_policy_or_guardrail_context,"source_urls"": [       ""https://wiki.leagueoflegends.com/en-us/WR:Karma"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/karma/"",       ""https://www.wildriftfire.com/guide/karma"",       ""https://www.wildrift || source_urls"": [       ""https://wiki.leagueoflegends.com/en-us/WR:Karma"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/karma/"",       ""https://www.wildriftfire.com/guide/karma"",       ""https://www.wildrift || source_urls"": [       ""https://wiki.leagueoflegends.com/en-us/WR:Karma"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/karma/"",       ""https://www.wildriftfire.com/guide/karma"",       ""https://www.wildrift || source_urls"": [       ""https://wiki.leagueoflegends.com/en-us/WR:Karma"",       ""https://wildrift.leagueoflegends.com/en-sg/champions/karma/"",       ""https://www.wildriftfire.com/guide/karma"",       ""https://www.wildrift"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk9/riftcoach_wr_intelligence_database_v0_6_0_chunk9/database/builds/wr_support_build_variants.json,non_wr_url,81,needs_review_policy_or_guardrail_context,"ty rules; not official source meta.""       ]     },     ""source_urls"": [       ""https://wildrift.leagueoflegends.com/en-sg/champions/alistar/"",       ""https://wiki.leagueoflegends.com/en-us/WR:Alistar"",       ""https://www || ty rules; not official source meta.""       ]     },     ""source_urls"": [       ""https://wildrift.leagueoflegends.com/en-sg/champions/alistar/"",       ""https://wiki.leagueoflegends.com/en-us/WR:Alistar"",       ""https://www || ty rules; not official source meta.""       ]     },     ""source_urls"": [       ""https://wildrift.leagueoflegends.com/en-sg/champions/alistar/"",       ""https://wiki.leagueoflegends.com/en-us/WR:Alistar"",       ""https://www || ty rules; not official source meta.""       ]     },     ""source_urls"": [       ""https://wildrift.leagueoflegends.com/en-sg/champions/amumu/"",       ""https://wiki.leagueoflegends.com/en-us/WR:Amumu"",       ""https://www.w || ty rules; not official source meta.""       ]     },     ""source_urls"": [       ""https://wildrift.leagueoflegends.com/en-sg/champions/amumu/"",       ""https://wiki.leagueoflegends.com/en-us/WR:Amumu"",       ""https://www.w"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk6/riftcoach_wr_intelligence_database_v0_6_0_chunk6/quality/source_access_report_items.json,non_wr_url,1,needs_review_policy_or_guardrail_context,"s.com/en-us/WR:Yordle_Trap"",     ""https://www.wildriftfire.com/item-list"",     ""https://wildrift.leagueoflegends.com/en-sg/news/game-updates/wild-rift-patch-notes-7-1e""   ],   ""result"": ""direct_fetch_failed_in_chatgpt_web_tool"",   ""conseque"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk6/riftcoach_wr_intelligence_database_v0_6_0_chunk6/public/data/source_coverage_items.json,non_wr_url,1,needs_review_policy_or_guardrail_context,"m/en-us/WR:Yordle_Trap"",       ""https://www.wildriftfire.com/item-list"",       ""https://wildrift.leagueoflegends.com/en-sg/news/game-updates/wild-rift-patch-notes-7-1e""     ],     ""result"": ""direct_fetch_failed_in_chatgpt_web_tool"",     ""co"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk5/riftcoach_wr_intelligence_database_v0_6_0_chunk5/lineage/field_level_provenance_champions_O_Z.jsonl,non_wr_url,600,needs_review_policy_or_guardrail_context,"_wr_candidate"",""source_urls"":[""https://wiki.leagueoflegends.com/en-us/WR:Olaf"",""https://wildrift.leagueoflegends.com/en-sg/champions/olaf/"",""https://www.wildriftfire.com/guide/olaf"",""https://www.wildriftfire.com/guide/ || _wr_candidate"",""source_urls"":[""https://wiki.leagueoflegends.com/en-us/WR:Olaf"",""https://wildrift.leagueoflegends.com/en-sg/champions/olaf/"",""https://www.wildriftfire.com/guide/olaf"",""https://www.wildriftfire.com/guide/ || _wr_candidate"",""source_urls"":[""https://wiki.leagueoflegends.com/en-us/WR:Olaf"",""https://wildrift.leagueoflegends.com/en-sg/champions/olaf/"",""https://www.wildriftfire.com/guide/olaf"",""https://www.wildriftfire.com/guide/ || _wr_candidate"",""source_urls"":[""https://wiki.leagueoflegends.com/en-us/WR:Olaf"",""https://wildrift.leagueoflegends.com/en-sg/champions/olaf/"",""https://www.wildriftfire.com/guide/olaf"",""https://www.wildriftfire.com/guide/ || _wr_candidate"",""source_urls"":[""https://wiki.leagueoflegends.com/en-us/WR:Olaf"",""https://wildrift.leagueoflegends.com/en-sg/champions/olaf/"",""https://www.wildriftfire.com/guide/olaf"",""https://www.wildriftfire.com/guide/"
