relative_path,domain,line_count,bad_lines,first_keys,bytes
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/ai/riftcoach_eval_set_seed.jsonl,ai,3,0,eval_id|prompt|expected_behavior,474
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/events/sample_events.jsonl,other,2,0,event_id|event_type|timestamp|patch_version|payload,499
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/rag/retrieval_eval_set_seed.jsonl,other,3,0,eval_id|query|expected|must_not_include,611
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/ai/graph_reasoning_eval_set.jsonl,ai,2,0,eval_id|input|expected,463
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/ai/riftcoach_eval_set_seed.jsonl,ai,3,0,eval_id|prompt|expected_behavior,474
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/database/entities/wr_abilities_full.jsonl,abilities,690,0,id|champion_id|champion_name|slot|display_slot|name|ability_type|has_active_component|has_passive_component|has_empowered_component|has_recast_component|brief_description|full_description|cost|cooldowns|cast_time|target_range|effect_radius|width|speed|duration|damage_values|scaling|active_effects|passive_effects|damage_types|defense_types|crowd_control_types|effect_tags|ability_forms,3454592
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/database/entities/wr_champions_full.jsonl,champions,138,0,id|entity_id|name|title|entity_type|game|not_lol_pc|patch_version|valid_from_patch|valid_to_patch|brief_description|full_description|classes|class_tags|roles|positions|lanes|lane_tags|resource|range_type|adaptive_type|ratings|damage_profile|defense_profile|base_stats|abilities|abilities_by_key|ability_ids|effects|strategic_pro_analyst,8116591
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/database/entities/wr_items_full.jsonl,items,116,0,id|entity_id|name|entity_type|game|not_lol_pc|patch_version|current_list_status|brief_description|full_description|item_class|item_tier|build_slot_type|valid_build_option|support_item_compatible|role_tags|class_tags|stat_tags|damage_types|defense_types|effect_tags|stats|economy|cooldowns|active_effects|passive_effects|when_to_build|why_to_build|when_to_avoid|synergy_rules,547570
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/database/entities/wr_runes_full.jsonl,runes,53,0,id|name|entity_type|game|not_lol_pc|patch_version|rune_type|path|slot|slot_index|brief_description|full_description|stats|cooldowns|active_effects|passive_effects|damage_types|defense_types|effect_tags|best_for|avoid_when|combine_with|source_urls|source_status|source_family|provenance|rag|graph,159782
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/riftcoach_wr_intelligence_database_v0_6_0_chunk10_final/database/entities/wr_spells_full.jsonl,spells,9,0,id|name|aliases|entity_type|game|not_lol_pc|patch_version|valid_from_patch|valid_to_patch|brief_description|full_description|spell_slot_type|availability|stats|cooldowns|range|breaks_stealth|active_effects|passive_effects|damage_types|defense_types|crowd_control_types|effect_tags|special_forms|when_to_choose|why_to_choose|when_to_avoid|synergy_rules|counterplay_rules|recommendation_reason_codes,40946
