file,pattern,line,snippet
app/api/build/route.ts,api_key_in_request_body,8,"    const { champion, role, enemies, apiKey, model, context } = await req.json();"
app/api/build/route.ts,api_key_in_request_body,27,"        ""Authorization"": `Bearer ${apiKey}`,"
app/api/chat/route.ts,api_key_in_request_body,368,        const groq = createGroq({ apiKey })
app/api/chat/route.ts,api_key_in_request_body,439,"          apiKey,"
app/api/chat/route.ts,wild_rift_guardrail,282,  return `You are the RiftCoach Build Advisor for Wild Rift (mobile).
app/api/chat/route.ts,wild_rift_guardrail,282,  return `You are the RiftCoach Build Advisor for Wild Rift (mobile).
app/api/chat/route.ts,wild_rift_guardrail,291,"7. This is Wild Rift mobile — levels 1-15, 15-20 min games"
app/api/chat/route.ts,wild_rift_guardrail,291,"7. This is Wild Rift mobile — levels 1-15, 15-20 min games"
app/api/draft/route.ts,api_key_in_request_body,8,"    const { role, enemyPick, allies, apiKey, model, context } = await req.json();"
app/api/draft/route.ts,api_key_in_request_body,33,"        ""Authorization"": `Bearer ${apiKey}`,"
app/api/draft/route.ts,wild_rift_guardrail,14,"    const systemPrompt = `You are RiftCoach, a Sovereign-tier Wild Rift draft coach. Respond FAST and CONCISELY."
app/api/draft/route.ts,exact_stats_language,21,- Recommend exactly 3 champions ranked by confidence (HIGH/MEDIUM/LOW)
app/api/reasoning/route.ts,api_key_in_request_body,44,"  CEREBRAS_MODELS.map((model) => ({ apiKey, model }))"
app/api/reasoning/route.ts,api_key_in_request_body,67,"  GROQ_MODELS.map((model) => ({ apiKey, model }))"
app/api/reasoning/route.ts,api_key_in_request_body,82,"  GOOGLE_AI_MODELS.map((model) => ({ apiKey, model }))"
app/api/reasoning/route.ts,api_key_in_request_body,106,"  OPENROUTER_MODELS.map((model) => ({ apiKey, model }))"
app/api/reasoning/route.ts,api_key_in_request_body,124,"  MISTRAL_MODELS.map((model) => ({ apiKey, model }))"
app/api/reasoning/route.ts,api_key_in_request_body,145,"  TOGETHER_MODELS.map((model) => ({ apiKey, model }))"
app/api/reasoning/route.ts,api_key_in_request_body,550,"      `https://generativelanguage.googleapis.com/v1beta/models/${model}:generateContent?key=${apiKey}`,"
app/api/reasoning/route.ts,api_key_in_request_body,605,"        Authorization: `Bearer ${config.apiKey}`,"
app/api/reasoning/route.ts,api_key_in_request_body,621,"        Authorization: `Bearer ${config.apiKey}`,"
app/api/reasoning/route.ts,api_key_in_request_body,634,"    const raw = await callGoogleAI(config.apiKey, config.model, messages);"
