KPI,Definition,StartField,EndField,Source,Owner,Status,Notes
Time to Shortlist,Approved Date to 1st candidate submitted on req,Approved Date,1st candidate submitted date,Sondra June 24 / Wave 0 Section 4 / raw transcript,Sondra/Mel,PARTIAL_BUILDABLE,"Raw transcript confirms first candidate hitting Hiring Manager Review at req level. v6 has Hiring Manager Review rows (782). Confirm HM Review = Sondra shortlist definition."
Time to Interview,Approved Date to 1st candidate hitting interview,Approved Date,1st interview date,Sondra June 24 / Claude MCP v6 audit,Mel,MISMATCH_BUILDABLE,"v6 has Interview to be Scheduled rows (327), but existing measure starts from Application Date. Must re-anchor to Approved Date. Confirm whether Interview to be Scheduled alone is the required end status."
Time to Offer,Approved Date to candidate Offer Date,Approved Date,Offer Created Date,Sondra June 24 / raw transcript / Claude MCP v6 audit,Sondra/Mel,VIOLATION,"Raw transcript confirms Approved Date to Offer Created Date. Existing v6 uses Date Created - keep VIOLATION until v6 re-anchored to Approved Date. CD2_Offers has both Offer Created Date and Offer Approved Date."
Time to Accept,Approved Date to candidate Accept Date,Approved Date,Candidate Accept Date,Sondra June 24 written notes / Claude MCP v6 audit,Sondra/Mel,MISMATCH_BUILDABLE,"Sondra written note is the locked definition: Approved Date to Candidate Accept Date. Transcript wording is messy but the written note wins. v6 starts from Offer Created Date - re-anchor to Approved Date. CD2_Offers date columns are text-typed - safe conversion required."
Time to Start,Approved Date to tentative start date,Approved Date,Tentative Start Date,Sondra June 24 / Claude MCP v6 audit,Mel/Sondra,MISMATCH_BUILDABLE,"Required logic remains Approved Date to Tentative Start Date. v6 needs CR-scoped re-anchor and safe date conversion. Existing Avg Time to Start starts from Offer Accept Date and is not CR-scoped."
Candidate Disposition Reasons,Use Final Status,n/a,Final Status,Sondra June 24 / Claude MCP v6 probe,Sondra/Mel,NEEDS_FIELD_ALIGNMENT_IN_V6,"Wave 0 says Final Status. v6 has no exact Final Status field; proxy (Is Current Status + Application Status) needs confirmation."
Candidate Time to Screen / BGC,Ready to Onboard status to Hired status,Ready to Onboard status date,Hired status date,Sondra June 24 / raw transcript / Claude MCP v6 probe,Sondra,PARTIAL_BUILDABLE_NEEDS_CONFIRMATION,"Transcript says 'I think it's Ready to Onboard to Hired' - cautious wording, needs confirmation. v6 has Ready to Onboard (343) and Hired (375) statuses with Created Date. Note: Offer Pre-Employment status not present (closest Pre-Offer Verification)."
Source of Hire,Source of Hire,n/a,Source or Source Details,Sondra June 24 / raw transcript / Claude MCP v6 probe,Sondra,KPI_NOT_SLA_GATED_DATA_MISSING_IN_V6,"Transcript: Source of Hire is a KPI, not an SLA. v6 has no Source or Source Details fields. Exists in source workflow Excel per Wave 2B plan - must be imported before build."
DEI Gender Funnel,Gender by funnel stage,n/a,Gender and funnel stage,Sondra June 24 / Claude MCP v6 probe,Sondra/Governance,GATED_DATA_MISSING_IN_V6,"v6 has no Gender field or diversity table. Confirm join key, funnel steps, missing/unknown gender handling, and privacy rules."
Time to Intake,Approved Date to Intake meeting,Approved Date,Intake meeting date,Sondra June 24,Sondra/Megan,BLOCKED,"Intake only exists in req Notes / HM survey / manual sampling."
Intake to Recruitment Agreement,Intake to Recruitment Agreement Date,Intake date,Recruitment Agreement Date,Sondra June 24,Sondra/Manuel/Megan,BLOCKED,"No confirmed Recruitment Agreement Date."
Salary expectation analysis,Salary expectation analysis,n/a,Salary expectation field,Sondra June 24,Sondra/Governance,BLOCKED,"Field and policy approval missing."
Termination timeline,Termination timeline,n/a,HRIS termination fields,Sondra June 24,Sondra/HRIS owner,BLOCKED,"HRIS fields needed."
Time to Advertise/Post,Recruitment Agreement Date to MIN posting date,Recruitment Agreement Date,MIN posting date,Sondra June 24,Sondra,BLOCKED,"Need Recruitment Agreement Date and Posting Date."
