relative_path,domain,root_type,top_len,record_count,top_keys,bytes,shape_json
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/ai/riftcoach_goals_objectives.json,ai,dict,3,,schema_version|goals|objectives,431,"{""type"": ""dict"", ""keys"": [""schema_version"", ""goals"", ""objectives""], ""len"": 3}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/ai/riftcoach_guardrails.json,ai,dict,2,,schema_version|guardrails,319,"{""type"": ""dict"", ""keys"": [""schema_version"", ""guardrails""], ""len"": 2}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/ai/riftcoach_personas.json,ai,dict,2,,schema_version|personas,2335,"{""type"": ""dict"", ""keys"": [""schema_version"", ""personas""], ""len"": 2}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/ai/riftcoach_prompt_templates.json,ai,dict,2,,schema_version|templates,434,"{""type"": ""dict"", ""keys"": [""schema_version"", ""templates""], ""len"": 2}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/ai/riftcoach_recommendation_policy.json,ai,dict,2,,schema_version|policy,331,"{""type"": ""dict"", ""keys"": [""schema_version"", ""policy""], ""len"": 2}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/ai/riftcoach_response_schemas.json,ai,dict,3,,schema_version|schemas|build_recommendation_response_required,368,"{""type"": ""dict"", ""keys"": [""schema_version"", ""schemas"", ""build_recommendation_response_required""], ""len"": 3}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/ai/riftcoach_skill_cards.json,ai,dict,2,,schema_version|skill_cards,683,"{""type"": ""dict"", ""keys"": [""schema_version"", ""skill_cards""], ""len"": 2}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/cooldown_accuracy_dashboard_spec.json,other,dict,5,,dashboard_id|pages|metrics|refresh_cadence|decision_supported,278,"{""type"": ""dict"", ""keys"": [""dashboard_id"", ""pages"", ""metrics"", ""refresh_cadence"", ""decision_supported""], ""len"": 5}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/dashboard_specs.json,other,dict,2,,schema_version|dashboards,296,"{""type"": ""dict"", ""keys"": [""schema_version"", ""dashboards""], ""len"": 2}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/item_gold_accuracy_dashboard_spec.json,items,dict,5,,dashboard_id|pages|metrics|refresh_cadence|decision_supported,281,"{""type"": ""dict"", ""keys"": [""dashboard_id"", ""pages"", ""metrics"", ""refresh_cadence"", ""decision_supported""], ""len"": 5}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/kpi_catalog.json,other,dict,2,,schema_version|kpis,276,"{""type"": ""dict"", ""keys"": [""schema_version"", ""kpis""], ""len"": 2}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/metric_dictionary.json,other,dict,3,,schema_version|database_version|metrics,1267,"{""type"": ""dict"", ""keys"": [""schema_version"", ""database_version"", ""metrics""], ""len"": 3}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/patch_impact_dashboard_spec.json,other,dict,5,,dashboard_id|pages|metrics|refresh_cadence|decision_supported,229,"{""type"": ""dict"", ""keys"": [""dashboard_id"", ""pages"", ""metrics"", ""refresh_cadence"", ""decision_supported""], ""len"": 5}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/recommendation_quality_dashboard_spec.json,other,dict,5,,dashboard_id|pages|metrics|refresh_cadence|decision_supported,290,"{""type"": ""dict"", ""keys"": [""dashboard_id"", ""pages"", ""metrics"", ""refresh_cadence"", ""decision_supported""], ""len"": 5}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/source_coverage_dashboard_spec.json,other,dict,5,,dashboard_id|pages|metrics|refresh_cadence|decision_supported,312,"{""type"": ""dict"", ""keys"": [""dashboard_id"", ""pages"", ""metrics"", ""refresh_cadence"", ""decision_supported""], ""len"": 5}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/analytics/statistical_features.json,other,dict,3,,schema_version|features|status_values,306,"{""type"": ""dict"", ""keys"": [""schema_version"", ""features"", ""status_values""], ""len"": 3}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/chunk_manifest.json,other,dict,12,,package_name|database_version|patch_version|created_at|chunk|scope|source_policy|src_alignment|critical_blockers_for_later_chunks|expected_later_chunks|file_count|files_sha256,26617,"{""type"": ""dict"", ""keys"": [""package_name"", ""database_version"", ""patch_version"", ""created_at"", ""chunk"", ""scope"", ""source_policy"", ""src_alignment"", ""critical_blockers_for_later_chunks"", ""expected_later_chunks"", ""file_count"", ""files_sha256""], ""len"": 12}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/database/rules/boots_progression_rules.json,other,dict,8,,schema_version|patch_version|basic_boots|tier_2_boots|boot_enchantments|counts|alias_policy|validations,1417,"{""type"": ""dict"", ""keys"": [""schema_version"", ""patch_version"", ""basic_boots"", ""tier_2_boots"", ""boot_enchantments"", ""counts"", ""alias_policy"", ""validations""], ""len"": 8}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/database/rules/build_legality_rules.json,builds,dict,3,,schema_version|patch_version|build_legality_rules,921,"{""type"": ""dict"", ""keys"": [""schema_version"", ""patch_version"", ""build_legality_rules""], ""len"": 3}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/database/rules/champion_ability_identity_rules.json,champions,dict,7,,schema_version|patch_version|required_slots|slot_labels|blockers|karma_regression_must_match|required_ability_fields,1116,"{""type"": ""dict"", ""keys"": [""schema_version"", ""patch_version"", ""required_slots"", ""slot_labels"", ""blockers"", ""karma_regression_must_match"", ""required_ability_fields""], ""len"": 7}"
chatgpt_chunks_extracted/riftcoach_wr_intelligence_database_v0_6_0_chunk1/riftcoach_wr_intelligence_database_v0_6_0_chunk1/database/rules/cooldown_accuracy_rules.json,other,dict,6,,schema_version|patch_version|rule_id|severity|requirements|cooldown_types,1156,"{""type"": ""dict"", ""keys"": [""schema_version"", ""patch_version"", ""rule_id"", ""severity"", ""requirements"", ""cooldown_types""], ""len"": 6}"
